iters,fevals,fitness,times
0,1053,76.0,0.0007755170000001144
10,2096,74.0,0.0014748540000002475
20,3141,76.0,0.002187083000000145
30,4179,77.0,0.002891325000000222
40,5203,80.0,0.0036770430000001575
50,6243,80.0,0.004428835000000131
60,7282,80.0,0.005109709000000073
70,8324,77.0,0.00578919
80,9362,76.0,0.006500538999999916
90,10417,77.0,0.0071929869999998175
100,11458,77.0,0.007871626999999881
110,12509,78.0,0.00852775699999997
120,13548,78.0,0.009174837999999852
130,14587,78.0,0.009864147000000045
140,15636,78.0,0.010602426000000165
150,16677,78.0,0.011291329000000072
160,17708,78.0,0.011956619000000002
170,18743,78.0,0.012643063999999926
180,19791,87.0,0.013323495999999935
190,20823,87.0,0.013997888999999875
200,21854,87.0,0.014643433000000039
210,22899,87.0,0.015293194999999926
220,23935,85.0,0.015977310999999883
230,24984,85.0,0.016669344999999947
240,26024,87.0,0.01733468799999982
250,27065,86.0,0.01806614399999984
260,28111,85.0,0.018738791999999727
270,29143,85.0,0.019396518999999834
280,30179,85.0,0.02002745299999975
290,31215,85.0,0.0206494979999996
300,32256,85.0,0.021309180999999455
310,33294,85.0,0.021961102999999538
320,34332,85.0,0.022609564999999554
330,35372,86.0,0.023240525999999484
340,36405,85.0,0.023859542999999483
350,37444,85.0,0.024607471999999575
360,38496,86.0,0.025305929999999588
370,39531,86.0,0.025935468999999545
380,40574,86.0,0.026564665999999404
390,41620,86.0,0.027186411999999383
400,42664,86.0,0.027848112999999453
410,43701,86.0,0.02850112899999946
420,44741,86.0,0.029145370999999365
430,45774,86.0,0.02981986799999925
440,46814,85.0,0.03047326499999925
450,47851,85.0,0.031155528999999405
460,48890,86.0,0.0340856979999995
470,49935,85.0,0.03468872899999953
480,50983,86.0,0.03529458899999938
490,52030,86.0,0.035943061999999415
500,53068,85.0,0.036584767999999546
510,54112,85.0,0.037306984999999404
520,55145,85.0,0.037961417999999414
530,56186,85.0,0.0385976729999995
540,57229,86.0,0.039246544999999466
550,58279,86.0,0.039883453999999485
560,59322,86.0,0.04050469699999937
570,60360,86.0,0.041129742999999275
580,61398,86.0,0.041787304999999275
590,62431,87.0,0.04243256799999928
600,63472,87.0,0.04307953299999934
610,64511,87.0,0.04369512899999939
620,65555,87.0,0.04432027599999944
630,66606,87.0,0.045044352999999315
640,67649,87.0,0.04568429199999935
650,68684,87.0,0.04629594999999931
