iters,fevals,fitness,times
0,1038,2930.7655554867692,0.0007828390000002017
10,2078,3165.3220306865246,0.0015266250000003367
20,3120,3221.2830437726398,0.0022649680000004224
30,4156,3239.985235444345,0.002994656000000262
40,5204,3298.510181806469,0.00372600000000034
50,6245,3242.6077813266843,0.004464828000000587
60,7279,3242.7381895415174,0.0051977920000005895
70,8321,3331.972205598497,0.0059405860000003585
80,9369,3258.6711961474994,0.0066996120000002435
90,10416,3281.6495799892255,0.007441348000000403
100,11455,3368.1303647216623,0.008178746000000459
110,12489,3402.477574777338,0.008917098000001289
120,13526,3404.750701706213,0.009655330000001072
130,14568,3415.4505628823304,0.010388947000000925
140,15610,3481.9614584937663,0.011119925000000919
150,16652,3364.985146129214,0.01185188200000109
160,17691,3369.588128372016,0.012621564000001584
170,18722,3408.2932488025494,0.013401799000001269
180,19758,3407.822624731119,0.014144179000001422
190,20796,3453.5304284834406,0.01682532200000164
200,21835,3383.455576811051,0.017561455000001835
210,22875,3421.773727051353,0.01829281100000113
220,23919,3429.7294826440057,0.019025738000001624
230,24955,3505.0672940224736,0.019784695000002017
240,26004,3475.118715005912,0.020553185000001584
250,27048,3420.358913279541,0.02129515700000084
260,28081,3448.3661027822495,0.02202911900000082
270,29110,3468.0133332201954,0.022760401000001096
280,30148,3498.516542418393,0.023492064000000923
290,31194,3514.7108934694293,0.024232217000001555
300,32228,3510.590178059037,0.024969496000001534
310,33271,3553.1849663882276,0.02570614100000146
320,34311,3511.726850789302,0.026448996000001834
330,35348,3505.5576513563283,0.02722916600000236
340,36388,3508.8853199114615,0.027978382000002355
350,37427,3522.7811533791205,0.02872048000000227
360,38466,3487.5676532852513,0.029456908000002002
370,39507,3547.208192078136,0.03019427600000224
380,40548,3512.5466846485633,0.03093201500000209
390,41596,3512.7443699373016,0.031667087000002425
400,42633,3553.694844024588,0.032407665000002694
410,43676,3537.480036049515,0.033141898000002
420,44709,3555.400238370701,0.03389507300000183
430,45754,3537.106276693689,0.034657271000002154
440,46794,3532.117951857789,0.03539526600000187
450,47837,3525.49354499028,0.03614048000000114
460,48886,3490.5685393193426,0.0368755440000017
470,49928,3533.4033984180496,0.03760928500000116
480,50969,3559.9488031172073,0.038342597000000644
490,52021,3616.740690279214,0.0390759910000007
500,53066,3564.3996690968143,0.03981164400000026
510,54108,3503.0512891462436,0.040554339000000716
520,55148,3537.342224086417,0.04132684900000072
530,56182,3586.8096602808496,0.04207860800000063
540,57217,3544.9589295945116,0.042816068000000485
550,58258,3567.0122190363045,0.04355433900000083
560,59293,3578.7772178583464,0.0442925530000009
570,60333,3586.9677222139326,0.04502723100000061
580,61375,3586.9677222139326,0.04575932800000082
590,62421,3586.9677222139326,0.046495101000001426
600,63460,3586.9677222139326,0.04726552100000081
610,64506,3586.9677222139326,0.04802068600000098
620,65543,3580.0580281615553,0.04876220000000053
630,66576,3586.9677222139326,0.04949959600000042
640,67618,3613.012804999857,0.05023149200000088
650,68655,3617.112445693761,0.050964643000000365
660,69702,3609.9931124531563,0.05169847300000008
670,70739,3590.712203492272,0.052436107999999315
680,71781,3617.112445693761,0.05316897199999904
690,72828,3637.134359477551,0.05391461699999933
700,73871,3617.112445693761,0.05469431599999908
710,74912,3590.712203492272,0.0554694859999989
720,75945,3606.9896359977224,0.05623659199999942
730,76977,3599.1416858521325,0.056978412999999506
740,78016,3582.8680815200287,0.057718674999999386
750,79057,3586.9677222139326,0.05845394599999931
760,80100,3626.328431979087,0.059201050999999616
770,81137,3650.0769489142176,0.059951012999999165
780,82174,3626.328431979087,0.06071809499999947
790,83211,3619.612866131683,0.06147174699999969
800,84249,3598.9037077817147,0.06221279699999993
810,85288,3601.3424005379666,0.06295288399999954
820,86329,3604.5982567495575,0.06369291599999993
830,87374,3629.340696551347,0.06442589699999957
840,88408,3641.815532385726,0.06516457399999886
850,89449,3623.3407541860092,0.06589555099999878
860,90493,3641.815532385726,0.06662888299999903
870,91534,3641.815532385726,0.06736603699999932
880,92572,3646.1908176568486,0.06813791299999927
890,93609,3658.357296069953,0.06889497699999936
900,94655,3651.305821216722,0.06964197199999944
910,95698,3641.815532385726,0.07038248499999966
920,96745,3614.8999488080976,0.07111941500000007
930,97790,3620.0853571561966,0.07186256999999951
940,98828,3586.9091811357616,0.07260137399999955
950,99854,3601.0840626241534,0.07333637499999934
960,100895,3568.25928225098,0.07407124199999959
970,101939,3631.957053868464,0.07482405099999934
980,102980,3552.039137889694,0.07559768499999908
990,104024,3531.7397540283673,0.07635686199999903
1000,105067,3568.862441169995,0.07709369899999885
1010,106105,3553.311963533798,0.07783512699999928
1020,107156,3567.083502917354,0.07856919899999948
1030,108198,3639.0097119717625,0.07930133099999903
1040,109243,3565.84112312576,0.08003967199999895
1050,110285,3580.0622611060653,0.08077330399999827
1060,111327,3567.7792589955843,0.08155877699999792
1070,112375,3565.1611143745076,0.0823058769999978
1080,113414,3586.0531644923626,0.08304106899999741
1090,114450,3580.734118085359,0.08378343699999657
1100,115492,3594.1795011970735,0.08451476699999727
1110,116529,3549.849393464928,0.08524863199999722
1120,117575,3603.4992371636768,0.08598232299999786
1130,118621,3577.4235496006977,0.086714504999998
1140,119660,3604.173847172965,0.08745241599999787
1150,120695,3585.0065653474367,0.08822364799999782
1160,121732,3608.7816112602077,0.08898482299999788
1170,122773,3612.6802092482303,0.08973329999999802
1180,123809,3615.1257386617144,0.09046772799999836
1190,124848,3619.6480968636442,0.09120757999999896
1200,125886,3647.859323624448,0.09194082999999953
1210,126929,3635.149422965982,0.09267321899999903
1220,127982,3678.515450100626,0.09340806299999915
1230,129013,3619.842089158001,0.09413695399999877
1240,130054,3664.3403539587566,0.0948749849999988
1250,131082,3613.330376734818,0.09565746899999894
1260,132120,3632.435507929277,0.09640078399999918
1270,133159,3636.9857876094866,0.09713724099999954
1280,134197,3604.4509213664974,0.09786869999999936
1290,135240,3583.771529417301,0.09860252599999964
1300,136272,3655.516799493381,0.09934777199999889
1310,137310,3613.106890810198,0.10008479599999909
1320,138347,3690.9421524167974,0.10081672499999872
1330,139389,3618.4635087905403,0.10154577599999826
1340,140432,3633.346493567689,0.1023164639999985
1350,141482,3654.4867233266864,0.10308542599999804
1360,142522,3602.162265231908,0.10381396199999848
1370,143561,3624.410918538386,0.10454210699999855
