iters,fevals,fitness
0,7352152,2905.303595736597
10,7353197,3013.503884031967
20,7354244,3128.8056228805112
30,7355291,3190.690217756748
40,7356328,3154.727352600063
50,7357371,3218.7236634215346
60,7358413,3339.8561991081024
70,7359458,3376.292202179958
80,7360489,3391.9691524988793
90,7361534,3440.096662749315
100,7362580,3356.6763628596245
110,7363616,3357.82962310643
120,7364650,3429.2049378150073
130,7365698,3417.6265828846385
140,7366737,3453.6760211294095
150,7367766,3442.483328466051
160,7368811,3418.8284310698627
170,7369853,3451.6352616865147
180,7370899,3558.902041621116
190,7371945,3432.450337509181
200,7372982,3433.798379829508
210,7374022,3447.9066348662013
220,7375053,3426.7018179161773
230,7376081,3459.3851425563657
240,7377126,3429.5795679213916
250,7378163,3436.881688202461
260,7379201,3450.18271166941
270,7380236,3448.403176440488
280,7381276,3432.593960455414
290,7382309,3423.3226910378344
300,7383347,3518.728993322465
310,7384378,3526.5013771587833
320,7385419,3502.730027160398
330,7386455,3456.9917652439763
340,7387500,3475.123811621513
350,7388550,3458.285585523917
360,7389586,3427.884601583867
370,7390630,3425.9869427613335
380,7391666,3438.066015698656
390,7392708,3486.4370711053093
400,7393748,3466.4005358039935
410,7394788,3427.3616737883467
420,7395830,3472.56412507038
430,7396876,3538.897089280279
440,7397918,3471.5332786116355
450,7398965,3480.133688656849
460,7400005,3496.166468505877
470,7401046,3485.693890254696
480,7402088,3459.0777209437288
490,7403128,3430.799206905472
500,7404163,3493.2634538411644
510,7405195,3478.063334522105
520,7406232,3462.592328530737
530,7407272,3486.9192148783363
540,7408313,3497.287328171869
550,7409356,3510.6761083332726
560,7410401,3535.8334952604278
570,7411442,3499.005703871382
580,7412485,3492.1414575263266
590,7413520,3522.064229100797
600,7414557,3539.210935489442
610,7415602,3521.7332039269522
620,7416641,3514.163640340483
630,7417679,3498.6145304233796
640,7418709,3518.01586140059
650,7419750,3500.6225367354828
660,7420789,3522.3122130701527
670,7421824,3523.6479269747065
680,7422864,3510.615776544264
690,7423912,3526.8069831915545
700,7424961,3528.852537167557
710,7425999,3518.8050076712498
720,7427045,3520.293562266836
730,7428083,3527.9069670878985
740,7429127,3519.2574663478526
750,7430171,3523.6479269747065
760,7431224,3508.9748735046114
770,7432271,3551.9869672573104
780,7433303,3519.5482862808026
790,7434351,3537.422766982488
800,7435393,3521.9437903293024
810,7436426,3504.579027169027
820,7437455,3527.604417408251
830,7438500,3524.4727629874255
840,7439542,3537.956899762636
850,7440578,3527.604417408251
860,7441625,3526.904591917343
870,7442665,3516.9829794669145
880,7443696,3528.477721453939
890,7444733,3531.5755729759967
900,7445767,3519.375579011366
910,7446810,3527.604417408251
920,7447844,3523.637806796699
930,7448884,3513.2341977431306
940,7449921,3525.771085732079
950,7450957,3526.0589702775246
960,7452004,3525.771085732079
970,7453046,3465.5544227679025
980,7454091,3468.931855744147
990,7455130,3491.6652148752764
1000,7456177,3491.6652148752764
1010,7457213,3508.1484526306613
1020,7458250,3535.1341198936416
1030,7459291,3510.7363910745285
1040,7460328,3526.311404639055
1050,7461365,3536.909405410777
1060,7462406,3514.289660212268
1070,7463442,3539.2967470068493
1080,7464478,3513.84687523756
1090,7465515,3524.248204906412
1100,7466550,3540.5762884811365
1110,7467591,3559.8985761473537
1120,7468633,3523.361533618954
1130,7469668,3542.7473110439773
1140,7470716,3537.023019343397
1150,7471753,3571.3966969264548
1160,7472795,3579.792885367651
1170,7473826,3584.051925480843
1180,7474867,3554.9262473011413
1190,7475903,3570.1070467607374
1200,7476951,3574.1701526387606
1210,7477996,3559.718012005959
1220,7479040,3563.271281143698
1230,7480085,3561.3185663497134
1240,7481130,3579.792885367651
1250,7482165,3584.051925480843
1260,7483202,3576.2772548806543
1270,7484240,3557.775265622768
1280,7485287,3547.8689900498202
1290,7486333,3566.271659287239
1300,7487365,3591.9896916601406
1310,7488402,3565.703063391272
1320,7489437,3575.651784425258
1330,7490474,3569.3451972652147
1340,7491517,3559.940339413943
1350,7492558,3565.703063391272
1360,7493596,3593.2237680702183
1370,7494630,3575.5245311558747
1380,7495670,3552.844718913203
1390,7496711,3553.4064924008517
1400,7497746,3599.310971946237
1410,7498793,3560.24165889509
1420,7499834,3591.064760964952
1430,7500872,3580.989361721303
1440,7501904,3588.3774893532363
1450,7502945,3581.033524174306
1460,7503993,3612.177152177342
1470,7505032,3627.169851838059
1480,7506075,3575.9942167463196
1490,7507116,3648.4608520104675
1500,7508153,3598.727575877449
1510,7509196,3604.4364927069296
1520,7510227,3549.600106258142
1530,7511270,3594.548574927152
1540,7512310,3545.4981927840818
1550,7513348,3584.5946440754087
1560,7514392,3548.061429101808
1570,7515428,3609.7363838014585
1580,7516466,3666.401038248257
1590,7517507,3609.1562219504453
1600,7518554,3676.194994920653
1610,7519594,3637.02196379885
1620,7520632,3616.802315289607
1630,7521665,3609.935119897
1640,7522697,3621.2499379056394
1650,7523739,3603.51402524514
1660,7524783,3632.06903905586
1670,7525821,3592.7848848788517
1680,7526861,3620.985414571939
1690,7527898,3611.9385168665817
1700,7528940,3603.4954630719158
1710,7529982,3615.7667265156397
1720,7531017,3591.7728748501145
1730,7532063,3619.459656465543
1740,7533102,3567.3565224809986
1750,7534144,3648.054815410721
1760,7535191,3600.9853374476056
1770,7536235,3614.739668784248
1780,7537283,3599.4106820226425
1790,7538324,3659.6012608757533
1800,7539359,3603.1331507030573
1810,7540393,3599.0335100091534
1820,7541434,3593.656224477328
1830,7542476,3599.0335100091534
1840,7543514,3603.1331507030573
1850,7544557,3614.3624967707588
1860,7545606,3618.4621374646626
1870,7546648,3633.774896249076
1880,7547685,3631.7283096482347
1890,7548725,3603.1331507030573
1900,7549763,3603.1331507030573
1910,7550812,3631.7283096482347
1920,7551850,3607.7641611133404
1930,7552890,3603.1331507030573
1940,7553933,3603.1331507030573
1950,7554965,3603.1331507030573
1960,7556009,3603.1331507030573
1970,7557045,3617.507829027091
1980,7558081,3603.1331507030573
1990,7559118,3631.7283096482347
2000,7560152,3603.1331507030573
2010,7561201,3663.24494747399
2020,7562248,3655.942145216917
