iters,fevals,fitness,times
0,2000,85.0,0.01712561400000112
10,4191,87.0,0.03085274800000093
20,6382,87.0,0.0445061260000017
30,8573,85.0,0.05803026299999914
40,10764,87.0,0.07127359199999717
50,12955,85.0,0.08518553699999387
60,15146,86.0,0.09897733499999362
70,17337,85.0,0.11287653899999128
80,19528,88.0,0.126454571999993
90,21719,85.0,0.1421001979999943
100,23910,87.0,0.1556193399999941
110,26101,87.0,0.16878674399999483
120,28292,90.0,0.18253716099999195
130,30483,87.0,0.1966519579999897
140,32674,94.0,0.20990107999998742
150,34865,90.0,0.22337248799998832
160,37056,96.0,0.23691272199999247
170,39247,94.0,0.2499809099999979
180,41438,96.0,0.26317869499999347
190,43629,97.0,0.27660029699999455
200,45820,97.0,0.2900490489999896
210,48011,97.0,0.30346432099998566
220,50202,97.0,0.31682092999999156
230,52393,97.0,0.3302336899999929
240,54584,97.0,0.3433648479999931
250,56775,98.0,0.3565163749999982
260,58966,98.0,0.3693060589999959
270,61157,98.0,0.3819919019999958
280,63348,98.0,0.39468613099999317
290,65539,98.0,0.4077204359999982
300,67730,99.0,0.42049033499999666
310,69921,99.0,0.4333603919999973
320,72112,99.0,0.44635079899999397
330,74303,99.0,0.45936404899999417
340,76494,99.0,0.4719453829999978
350,78685,99.0,0.4851977369999929
360,80876,99.0,0.498322495999993
370,83067,104.0,0.5110325939999925
380,85258,103.0,0.5241119309999931
390,87449,103.0,0.5386562569999924
400,89640,103.0,0.5526667049999929
410,91831,103.0,0.5657337929999926
420,94022,103.0,0.579225577999992
430,96213,103.0,0.5918485439999941
440,98404,103.0,0.6054784219999902
450,100595,103.0,0.6187701939999926
460,102786,103.0,0.6326745469999935
470,104977,103.0,0.6455072249999958
480,107168,103.0,0.6598515230000004
490,109359,103.0,0.6732328370000005
500,111550,104.0,0.6869393390000056
510,113741,104.0,0.6995277600000023
520,115932,104.0,0.7126959830000033
530,118123,104.0,0.7257344300000028
540,120314,104.0,0.7389818350000041
550,122505,104.0,0.7518472690000095
560,124696,104.0,0.7653248950000133
570,126887,104.0,0.7780700600000188
580,129078,104.0,0.7909006450000149
590,131269,104.0,0.8034973410000177
600,133460,104.0,0.8169380080000224
610,135651,104.0,0.8303772100000231
620,137842,104.0,0.8430893910000279
630,140033,104.0,0.8560546600000265
640,142224,104.0,0.8695148820000256
650,144415,104.0,0.8827335130000264
660,146606,104.0,0.8957096980000259
670,148797,104.0,0.9085947450000305
680,150988,105.0,0.9217490160000281
690,153179,105.0,0.9356905990000257
700,155370,105.0,0.9484775320000196
710,157561,106.0,0.9612150440000207
720,159752,106.0,0.9739566500000194
730,161943,105.0,0.986999637000018
740,164134,105.0,0.9999317450000191
750,166325,105.0,1.0126822610000232
760,168516,106.0,1.0254328080000192
770,170707,106.0,1.037851274000019
780,172898,106.0,1.0503472410000185
790,175089,106.0,1.0629467040000122
800,177280,106.0,1.075590639000012
810,179471,106.0,1.0882551740000181
820,181662,106.0,1.1008796310000193
830,183853,106.0,1.1136118120000233
840,186044,106.0,1.1262368720000282
850,188235,106.0,1.1388234920000286
860,190426,106.0,1.1513004400000284
870,192617,106.0,1.1638357190000264
880,194808,106.0,1.1763891390000225
890,196999,106.0,1.1890871890000199
900,199190,106.0,1.2017947320000246
910,201381,106.0,1.214528592000029
920,203572,106.0,1.2273758070000298
930,205763,106.0,1.2401672590000317
940,207954,106.0,1.252917772000032
950,210145,106.0,1.2657017290000354
960,212336,106.0,1.2785719140000396
970,214527,106.0,1.2914392050000387
980,216718,106.0,1.3041264370000434
990,218909,106.0,1.3167321210000438
1000,221100,106.0,1.329379343000042
1010,223291,106.0,1.3422637930000434
1020,225482,107.0,1.3554752810000466
1030,227673,107.0,1.3687938400000448
1040,229864,107.0,1.3818711440000442
1050,232055,107.0,1.3945139120000434
1060,234246,107.0,1.4071465610000402
1070,236437,107.0,1.419757281000038
1080,238628,107.0,1.4323042060000404
1090,240819,107.0,1.4447339490000388
1100,243010,107.0,1.4571804380000373
1110,245201,107.0,1.4696872860000383
1120,247392,107.0,1.4822323560000399
1130,249583,107.0,1.494821314000042
1140,251774,107.0,1.5076125610000375
1150,253965,107.0,1.5203428070000413
1160,256156,107.0,1.5328801830000458
1170,258347,107.0,1.5454791770000469
1180,260538,107.0,1.5579553240000479
1190,262729,107.0,1.570458891000051
1200,264920,107.0,1.582952515000052
1210,267111,107.0,1.5954594840000524
1220,269302,107.0,1.6079728620000537
1230,271493,107.0,1.62066291200005
1240,273684,107.0,1.6335643060000535
1250,275875,107.0,1.646226780000056
1260,278066,107.0,1.6590055030000528
1270,280257,107.0,1.6714549910000542
1280,282448,107.0,1.6839584780000578
1290,284639,107.0,1.69648659500006
1300,286830,107.0,1.7099730250000604
1310,289021,107.0,1.7229797820000599
1320,291212,107.0,1.7362351090000558
1330,293403,107.0,1.7489574790000546
1340,295594,107.0,1.7618978700000554
1350,297785,107.0,1.7751152560000563
1360,299976,107.0,1.788023068000058
1370,302167,108.0,1.8009593750000619
1380,304358,107.0,1.8147172520000652
1390,306549,107.0,1.8279796340000658
1400,308740,107.0,1.84081423300006
1410,310931,107.0,1.8532575430000549
1420,313122,107.0,1.8660262870000537
1430,315313,107.0,1.8791236580000472
1440,317504,107.0,1.8917383050000467
1450,319695,107.0,1.9049054350000532
1460,321886,107.0,1.9179852260000558
1470,324077,107.0,1.9308959000000598
1480,326268,107.0,1.9435858520000622
1490,328459,107.0,1.9567932560000614
1500,330650,107.0,1.96988699500006
1510,332841,107.0,1.982528466000062
1520,335032,107.0,1.9952606010000622
1530,337223,107.0,2.0084266030000606
1540,339414,107.0,2.0211903050000544
1550,341605,107.0,2.0337368980000576
1560,343796,107.0,2.0467112730000565
1570,345987,107.0,2.059938916000057
1580,348178,107.0,2.073104391000058
1590,350369,107.0,2.086012799000059
1600,352560,107.0,2.1069551300000597
1610,354751,107.0,2.1199354750000623
1620,356942,107.0,2.1333141860000637
1630,359133,107.0,2.146311553000068
1640,361324,107.0,2.1589757230000686
1650,363515,107.0,2.1719703180000707
1660,365706,107.0,2.1853165630000717
1670,367897,107.0,2.199131022000074
1680,370088,107.0,2.2121557240000698
1690,372279,107.0,2.22510417900007
1700,374470,107.0,2.2382945540000705
1710,376661,107.0,2.2509623240000636
1720,378852,107.0,2.2635653500000643
1730,381043,107.0,2.2765402380000666
1740,383234,107.0,2.289492365000072
1750,385425,107.0,2.3020560280000737
1760,387616,107.0,2.315006707000073
1770,389807,107.0,2.327909625000075
1780,391998,107.0,2.3408094860000688
1790,394189,107.0,2.353330050000075
1800,396380,107.0,2.365914446000076
1810,398571,107.0,2.3789649080000785
1820,400762,107.0,2.3916712270000815
1830,402953,107.0,2.4049015790000823
1840,405144,107.0,2.4182600010000783
1850,407335,107.0,2.4309997690000813
1860,409526,107.0,2.443385704000079
1870,411717,107.0,2.4563517110000817
1880,413908,107.0,2.46915690200008
1890,416099,107.0,2.4820327850000794
1900,418290,107.0,2.494967683000077
1910,420481,107.0,2.5151284700000787
1920,422672,107.0,2.5277916170000836
1930,424863,107.0,2.540414554000087
1940,427054,107.0,2.552858174000086
1950,429245,107.0,2.5654708300000877
1960,431436,107.0,2.5780153520000866
1970,433627,107.0,2.5904337390000833
1980,435818,107.0,2.6028770510000854
1990,438009,108.0,2.615366026000082
2000,440200,107.0,2.627865220000082
2010,442391,107.0,2.640375633000083
2020,444582,107.0,2.653171580000084
2030,446773,107.0,2.6657210250000816
2040,448964,107.0,2.6782493600000805
2050,451155,107.0,2.6908043960000825
2060,453346,107.0,2.703689909000083
2070,455537,107.0,2.7165833010000853
2080,457728,107.0,2.729217924000089
2090,459919,107.0,2.7418868740000875
2100,462110,108.0,2.7544888930000866
2110,464301,108.0,2.766950761000089
2120,466492,108.0,2.7793223040000896
2130,468683,108.0,2.791761006000087
2140,470874,108.0,2.8042301470000908
2150,473065,108.0,2.816618766000097
2160,475256,108.0,2.829100230000094
2170,477447,108.0,2.8416168240000985
2180,479638,108.0,2.8540478910001
2190,481829,108.0,2.866457027000102
2200,484020,108.0,2.878887548000101
2210,486211,108.0,2.8938294060001013
2220,488402,108.0,2.9062658790001024
2230,490593,108.0,2.9186958470001017
2240,492784,108.0,2.931080526000102
2250,494975,108.0,2.943485803000101
2260,497166,108.0,2.956082869000099
2270,499357,109.0,2.968676056000099
2280,501548,109.0,2.9810670120000964
2290,503739,109.0,2.9935687510000974
2300,505930,109.0,3.0062802640000967
2310,508121,109.0,3.0188876700000975
2320,510312,109.0,3.031536667000097
2330,512503,109.0,3.0441085090000968
2340,514694,109.0,3.056578137000095
2350,516885,110.0,3.0690182930000987
2360,519076,110.0,3.0815776610001038
2370,521267,109.0,3.0943804020001053
2380,523458,110.0,3.1070417220001048
2390,525649,109.0,3.1196821590000994
2400,527840,109.0,3.1322728680001006
2410,530031,109.0,3.1447594390000972
2420,532222,109.0,3.1574571960001023
2430,534413,109.0,3.169900332000104
2440,536604,109.0,3.182495195000108
2450,538795,110.0,3.194966338000121
2460,540986,110.0,3.2074187890001227
2470,543177,110.0,3.219822739000115
2480,545368,110.0,3.2322343960001163
2490,547559,110.0,3.244650896000117
2500,549750,110.0,3.257085390000121
2510,551941,110.0,3.270970340000126
2520,554132,110.0,3.2833847180001285
2530,556323,110.0,3.295859050000125
