iters,fevals,fitness,times
0,2000,3992.5615463364857,0.011915286000000691
10,4191,3992.5615463364857,0.021623277999999857
20,6382,3992.5615463364857,0.031166504999998068
30,8573,3992.5615463364857,0.04056464199999965
40,10764,3992.5615463364857,0.04992800599999825
50,12955,3993.913485117084,0.06065980799999693
60,15146,3992.5615463364857,0.07002016799999566
70,17337,3992.5615463364857,0.07937632099999448
80,19528,3992.5615463364857,0.08865807399999426
90,21719,3992.5615463364857,0.09792332599999654
100,23910,3992.5615463364857,0.1075083789999951
110,26101,3992.5615463364857,0.11682881999999495
120,28292,3992.5615463364857,0.126164009999993
130,30483,3992.5615463364857,0.13548668499999295
140,32674,3992.5615463364857,0.1447942029999929
150,34865,4005.7693188091644,0.15414135299999288
160,37056,3992.5615463364857,0.16355184999999395
170,39247,3992.5615463364857,0.17289091799999312
180,41438,3992.5615463364857,0.1821710119999942
190,43629,3992.5615463364857,0.19144299199999537
200,45820,3992.5615463364857,0.20070442999999472
210,48011,3992.5615463364857,0.20996485999999592
220,50202,3992.5615463364857,0.21927423499999676
230,52393,3992.5615463364857,0.2286532029999968
240,54584,3992.5615463364857,0.23860445499999727
250,56775,3992.5615463364857,0.24792494399999754
260,58966,3992.5615463364857,0.2572593339999969
270,61157,3992.5615463364857,0.2666229659999999
280,63348,3992.5615463364857,0.2759216969999976
290,65539,3992.5615463364857,0.2853267909999957
300,67730,3992.5615463364857,0.294617616999993
310,69921,3992.5615463364857,0.30389802499999163
320,72112,3992.5615463364857,0.313279321999989
330,74303,3992.5615463364857,0.3225912829999906
340,76494,3992.5615463364857,0.33192837899999006
350,78685,3992.5615463364857,0.34122909999998896
360,80876,3994.67686654334,0.35057238199998864
370,83067,3992.5615463364857,0.3600452889999879
380,85258,3996.400913985198,0.3693614559999894
390,87449,3992.5615463364857,0.3787370839999902
400,89640,3992.5615463364857,0.3880319249999893
410,91831,3992.5615463364857,0.39737923599998837
420,94022,3992.5615463364857,0.40665204099998675
430,96213,3992.5615463364857,0.42389962599998654
440,98404,3992.5615463364857,0.43321992599998893
450,100595,3992.5615463364857,0.4424986449999899
460,102786,3992.5615463364857,0.4518296049999897
470,104977,3992.5615463364857,0.4610876549999894
480,107168,3992.5615463364857,0.4704174739999907
490,109359,3992.5615463364857,0.47975867699998886
500,111550,3992.5615463364857,0.48916287999998787
510,113741,3992.5615463364857,0.49863739299998855
520,115932,3992.5615463364857,0.5080127459999915
530,118123,4008.3436183407894,0.5173692119999913
540,120314,3992.5615463364857,0.5266900569999926
550,122505,3992.5615463364857,0.5360408289999938
560,124696,4006.827945560459,0.5454231259999922
570,126887,3992.5615463364857,0.5547418419999914
580,129078,3992.5615463364857,0.5641119619999913
590,131269,3992.5615463364857,0.5733926059999916
600,133460,4012.3250304817857,0.5829260039999937
610,135651,3992.5615463364857,0.5923987769999925
620,137842,3992.5615463364857,0.6098410049999927
630,140033,3992.5615463364857,0.6198376559999943
640,142224,3992.5615463364857,0.630506424999993
650,144415,4004.237116024361,0.6404669329999919
660,146606,3992.5615463364857,0.6510696869999926
670,148797,4001.023661457567,0.6610407919999943
680,150988,3992.5615463364857,0.6709503669999926
690,153179,3992.5615463364857,0.6815890289999906
700,155370,3992.5615463364857,0.6914911269999884
710,157561,3992.5615463364857,0.7023084259999877
720,159752,3992.5615463364857,0.7123056109999872
730,161943,3992.5615463364857,0.7230180469999894
740,164134,3992.5615463364857,0.7329925519999883
750,166325,3992.5615463364857,0.7429040699999874
760,168516,3992.5615463364857,0.7534418179999847
770,170707,3992.5615463364857,0.7633453479999837
780,172898,3992.5615463364857,0.7739361559999836
790,175089,3992.5615463364857,0.7838672839999852
800,177280,3992.5615463364857,0.7946266939999873
810,179471,4037.2664633621243,0.8053994139999894
820,181662,3992.5615463364857,0.8153004329999867
830,183853,3992.5615463364857,0.8258542189999858
840,186044,3992.5615463364857,0.8358134309999876
850,188235,3992.5615463364857,0.8464039549999889
860,190426,3992.5615463364857,0.8564775829999896
870,192617,3992.5615463364857,0.866929633999991
880,194808,3992.5615463364857,0.8771049799999915
890,196999,3992.5615463364857,0.8870099609999933
900,199190,3992.5615463364857,0.8977334759999955
910,201381,4007.4680523816382,0.9078586039999941
920,203572,4010.2614530200462,0.9185110479999921
930,205763,4016.439447845456,0.928456422999993
940,207954,4009.406600930113,0.9391830089999935
950,210145,4021.1489835113352,0.949211525999992
960,212336,4014.882072469445,0.9598841279999952
970,214527,4032.6105365994026,0.9704729439999973
980,216718,4017.2600770960826,0.9807836559999998
990,218909,4010.2614530200462,0.9927743719999995
1000,221100,4010.2614530200462,1.0028793969999974
1010,223291,4011.9469260877395,1.0127687359999946
1020,225482,4032.999372081338,1.0233944009999973
1030,227673,4010.2614530200462,1.0333602949999978
1040,229864,4010.2614530200462,1.0439910549999993
1050,232055,4010.2614530200462,1.0539311839999996
