iters,fevals,fitness,times
0,10,6.0,8.437999999999501e-06
10,11,6.0,1.3103000000014298e-05
20,12,6.0,1.6874000000000056e-05
30,13,7.0,2.0585999999989113e-05
40,14,7.0,2.4360000000001047e-05
50,15,7.0,2.806400000002207e-05
60,16,7.0,3.173600000000443e-05
70,17,7.0,3.54739999999798e-05
80,18,7.0,3.913899999996584e-05
90,19,7.0,4.2929999999968826e-05
100,20,7.0,4.6526999999962904e-05
110,21,8.0,5.021699999996354e-05
120,22,8.0,5.42299999999607e-05
130,23,8.0,5.8225999999966804e-05
140,24,8.0,6.222299999997238e-05
150,25,8.0,6.613999999996456e-05
160,26,8.0,7.003299999996937e-05
170,27,9.0,7.418099999997874e-05
180,28,9.0,7.84909999999861e-05
190,29,10.0,8.24259999999688e-05
200,30,10.0,8.644399999996333e-05
210,31,10.0,9.039599999996484e-05
220,32,10.0,9.397799999996681e-05
230,33,18.0,9.774199999995625e-05
240,34,19.0,0.00010174199999996025
250,35,19.0,0.00010527299999996131
260,36,22.0,0.00010935099999995201
270,37,22.0,0.00011350599999992994
280,38,22.0,0.00011763199999992313
290,39,28.0,0.00012149099999991808
300,40,28.0,0.00012502299999991862
310,41,28.0,0.00012839999999991747
320,42,28.0,0.0001318409999999104
330,43,28.0,0.00013527899999993265
340,44,28.0,0.00013870099999990781
350,45,31.0,0.00014269299999991603
360,46,32.0,0.00014643999999991442
370,47,32.0,0.00015015799999992807
380,48,32.0,0.00015405699999992972
390,49,32.0,0.0001576559999999505
400,50,32.0,0.00016107999999995237
410,51,32.0,0.00016451399999994898
420,52,32.0,0.0001683069999999509
430,53,32.0,0.00017188599999995446
440,54,32.0,0.00017553099999995103
450,55,32.0,0.000178884999999962
460,56,32.0,0.0001824959999999487
470,57,32.0,0.00018588999999996636
480,58,32.0,0.0001893699999999665
490,59,32.0,0.0001927269999999759
500,60,32.0,0.000196170999999995
510,61,32.0,0.00019957900000000528
520,62,32.0,0.0002030899999999891
530,63,32.0,0.00020662599999998754
540,64,32.0,0.00020991999999997457
550,65,32.0,0.0002135449999999539
560,66,32.0,0.0002170599999999634
570,67,32.0,0.00022059999999995972
580,68,32.0,0.00022413199999996025
590,69,32.0,0.00022748199999994556
600,70,32.0,0.000230855999999946
610,71,32.0,0.00023432799999995035
620,72,32.0,0.0002378159999999463
630,73,33.0,0.00024797199999995745
640,74,40.0,0.0002515619999999552
650,75,40.0,0.0002551779999999393
660,76,40.0,0.0002588019999999469
670,77,41.0,0.0002624699999999591
680,78,41.0,0.0002661079999999594
690,79,41.0,0.0002697199999999733
700,80,42.0,0.0002738309999999744
710,81,42.0,0.00027745799999998044
720,82,42.0,0.0002809919999999799
730,83,42.0,0.0002849339999999867
740,84,42.0,0.0002886769999999872
750,85,43.0,0.00029305399999998705
760,86,43.0,0.0002970589999999884
770,87,48.0,0.00030087799999997666
780,88,48.0,0.0003047269999999769
790,89,49.0,0.0003087849999999781
800,90,49.0,0.00031350399999999223
810,91,49.0,0.0003170249999999708
820,92,49.0,0.00032061499999996856
830,93,49.0,0.0003241549999999649
840,94,49.0,0.0003275839999999641
850,95,49.0,0.00033119999999997596
860,96,49.0,0.00033480099999996793
870,97,50.0,0.00033843199999997187
880,98,50.0,0.0003419339999999882
890,99,50.0,0.0003454489999999977
900,100,50.0,0.00034879900000001074
910,101,50.0,0.00035269900000001186
920,102,51.0,0.0003565360000000184
930,103,51.0,0.00036021700000002377
940,104,51.0,0.00036351700000000764
950,105,51.0,0.00036715600000000737
960,106,51.0,0.0003707289999999863
970,107,51.0,0.00037432399999998145
980,108,51.0,0.0003778449999999878
990,109,55.0,0.00038165599999998023
1000,110,55.0,0.0003852899999999826
1010,111,55.0,0.0003892169999999695
1020,112,55.0,0.0003927169999999591
1030,113,55.0,0.00039615499999995363
1040,114,55.0,0.00040003299999996633
1050,115,55.0,0.00040342599999995676
1060,116,55.0,0.0004077919999999624
1070,117,55.0,0.00041128499999998347
1080,118,55.0,0.0004147299999999743
1090,119,55.0,0.0004183549999999536
1100,120,55.0,0.0004221749999999691
1110,121,55.0,0.000425692999999977
1120,122,55.0,0.0004292899999999711
1130,123,55.0,0.00043280899999997846
1140,124,55.0,0.00043649099999995555
1150,125,55.0,0.00044020699999997026
1160,126,56.0,0.00044397899999998325
1170,127,56.0,0.0004479289999999858
1180,128,56.0,0.0004514929999999695
1190,129,56.0,0.00045502999999999516
1200,130,56.0,0.0004586530000000033
1210,131,56.0,0.00046247000000002036
1220,132,56.0,0.00046598100000003195
1230,133,56.0,0.00046958300000005115
1240,134,56.0,0.0004752540000000638
1250,135,56.0,0.0004788380000000647
1260,136,56.0,0.00048222400000005883
1270,137,56.0,0.0004858070000000603
1280,138,56.0,0.0004894090000000517
1290,139,58.0,0.000492970000000037
1300,140,58.0,0.0004967950000000221
1310,141,58.0,0.0005006670000000379
1320,142,58.0,0.0005047160000000439
1330,143,58.0,0.00050875000000003
1340,144,58.0,0.000512959000000035
1350,145,58.0,0.0005167420000000422
1360,146,59.0,0.0005211330000000347
1370,147,59.0,0.0005251670000000486
1380,148,59.0,0.0005302570000000617
1390,149,59.0,0.0005339490000000613
1400,150,59.0,0.0005374170000000678
1410,151,59.0,0.0005416240000000738
1420,152,59.0,0.0005452720000000966
1430,153,59.0,0.000549179000000094
1440,154,59.0,0.0005529600000001023
1450,155,59.0,0.0005567710000000947
1460,156,59.0,0.0005609140000001067
1470,157,59.0,0.0005649010000000898
1480,158,59.0,0.0005685700000000737
1490,159,59.0,0.0005720770000000597
1500,160,59.0,0.0005757100000000626
1510,161,59.0,0.0005797520000000722
1520,162,59.0,0.0005832190000000792
1530,163,59.0,0.0005868150000000738
1540,164,59.0,0.0005910740000000525
1550,165,59.0,0.0005947610000000547
1560,166,59.0,0.0005986160000000518
1570,167,59.0,0.0006026420000000421
1580,168,59.0,0.0006061910000000614
1590,169,59.0,0.0006099450000000561
1600,170,59.0,0.0006138270000000667
1610,171,59.0,0.0006175010000000758
1620,172,59.0,0.0006212380000000794
1630,173,59.0,0.0006246860000000687
1640,174,59.0,0.0006284420000000623
1650,175,59.0,0.000633151000000054
1660,176,59.0,0.000637484000000077
1670,177,59.0,0.0006412330000000743
1680,178,59.0,0.0006448870000000939
1690,179,59.0,0.000648676000000098
1700,180,59.0,0.0006525150000001034
1710,181,59.0,0.0006566240000001056
1720,182,59.0,0.0006602770000000979
1730,183,59.0,0.0006648640000000983
1740,184,59.0,0.000669407000000094
1750,185,59.0,0.0006732370000001042
1760,186,59.0,0.0006770400000001009
1770,187,59.0,0.000680637000000095
1780,188,59.0,0.0006842600000001031
1790,189,59.0,0.0006878880000001086
1800,190,59.0,0.0006915100000001173
1810,191,59.0,0.0006954000000001237
1820,192,59.0,0.0006999400000001488
1830,193,59.0,0.00070341800000015
1840,194,59.0,0.0007070070000001483
1850,195,59.0,0.0007108030000001486
1860,196,59.0,0.0007146370000001567
