iters,fevals,fitness
0,44019,2316.9957239754604
10,44020,2664.0995834763708
20,44021,2969.169222945011
30,44022,3080.1667315686564
40,44023,3137.0209969335783
50,44024,3137.0209969335783
60,44025,3137.0209969335783
70,44026,3137.0209969335783
80,44027,3137.0209969335783
90,44028,3137.0209969335783
100,44029,3137.0209969335783
110,44030,3137.0209969335783
120,44031,3137.0209969335783
130,44032,3137.0209969335783
140,44033,3211.6200308049665
150,44034,3211.6200308049665
160,44035,3211.6200308049665
170,44036,3211.6200308049665
180,44037,3211.6200308049665
190,44038,3211.6200308049665
200,44039,3211.6200308049665
210,44040,3211.6200308049665
220,44041,3211.6200308049665
230,44042,3211.6200308049665
240,44043,3211.6200308049665
250,44044,3211.6200308049665
260,44045,3211.6200308049665
270,44046,3211.6200308049665
280,44047,3211.6200308049665
290,44048,3211.6200308049665
300,44049,3211.6200308049665
310,44050,3211.6200308049665
320,44051,3211.6200308049665
330,44052,3211.6200308049665
340,44053,3211.6200308049665
350,44054,3211.6200308049665
360,44055,3211.6200308049665
370,44056,3211.6200308049665
380,44057,3211.6200308049665
390,44058,3211.6200308049665
400,44059,3211.6200308049665
410,44060,3211.6200308049665
420,44061,3211.6200308049665
430,44062,3211.6200308049665
440,44063,3211.6200308049665
450,44064,3211.6200308049665
460,44065,3211.6200308049665
470,44066,3211.6200308049665
480,44067,3211.6200308049665
490,44068,3211.6200308049665
500,44069,3211.6200308049665
510,44070,3211.6200308049665
520,44071,3211.6200308049665
530,44072,3211.6200308049665
540,44073,3211.6200308049665
550,44074,3211.6200308049665
560,44075,3211.6200308049665
570,44076,3211.6200308049665
580,44077,3211.6200308049665
590,44078,3211.6200308049665
600,44079,3211.6200308049665
610,44080,3211.6200308049665
620,44081,3211.6200308049665
630,44082,3211.6200308049665
640,44083,3211.6200308049665
650,44084,3211.6200308049665
660,44085,3211.6200308049665
670,44086,3211.6200308049665
680,44087,3211.6200308049665
690,44088,3211.6200308049665
700,44089,3211.6200308049665
710,44090,3211.6200308049665
720,44091,3211.6200308049665
730,44092,3211.6200308049665
740,44093,3211.6200308049665
750,44094,3211.6200308049665
760,44095,3211.6200308049665
770,44096,3211.6200308049665
780,44097,3211.6200308049665
790,44098,3211.6200308049665
800,44099,3211.6200308049665
810,44100,3211.6200308049665
820,44101,3211.6200308049665
830,44102,3211.6200308049665
840,44103,3211.6200308049665
850,44104,3211.6200308049665
860,44105,3211.6200308049665
870,44106,3211.6200308049665
880,44107,3211.6200308049665
890,44108,3211.6200308049665
900,44109,3211.6200308049665
910,44110,3211.6200308049665
920,44111,3211.6200308049665
930,44112,3211.6200308049665
940,44113,3211.6200308049665
950,44114,3211.6200308049665
960,44115,3211.6200308049665
970,44116,3211.6200308049665
980,44117,3211.6200308049665
990,44118,3211.6200308049665
1000,44119,3211.6200308049665
1010,44120,3211.6200308049665
1020,44121,3211.6200308049665
1030,44122,3211.6200308049665
1040,44123,3211.6200308049665
1050,44124,3211.6200308049665
1060,44125,3211.6200308049665
