iters,fevals,fitness,times
0,10,7.0,8.092999999986805e-06
10,11,7.0,1.1448000000024994e-05
20,12,4.0,1.605400000004309e-05
30,13,5.0,1.9356999999997626e-05
40,14,5.0,2.261800000002978e-05
50,15,5.0,2.7071000000045142e-05
60,16,5.0,3.039000000004677e-05
70,17,7.0,3.374200000005878e-05
80,18,7.0,3.6914000000054514e-05
90,19,7.0,4.0170000000061545e-05
100,20,7.0,4.337900000006556e-05
110,21,8.0,4.687400000008557e-05
120,22,8.0,5.0499000000092664e-05
130,23,6.0,5.443300000007589e-05
140,24,10.0,5.749600000004573e-05
150,25,6.0,6.144300000004987e-05
160,26,6.0,6.469800000008519e-05
170,27,6.0,6.76330000001224e-05
180,28,6.0,7.09760000001114e-05
190,29,6.0,7.481000000014726e-05
200,30,6.0,7.82260000001811e-05
210,31,4.0,8.212400000018327e-05
220,32,4.0,8.535500000023122e-05
230,33,4.0,8.904900000022975e-05
240,34,4.0,9.246200000023741e-05
250,35,6.0,9.57710000002443e-05
260,36,5.0,9.89630000002295e-05
270,37,5.0,0.00010287500000022431
280,38,5.0,0.00010621500000018713
290,39,5.0,0.0001096750000001423
300,40,5.0,0.00011246300000017362
310,41,5.0,0.00011560500000018514
320,42,5.0,0.0001196500000001377
330,43,5.0,0.00012325700000009876
340,44,5.0,0.00012642200000012593
350,45,5.0,0.00012952500000013023
360,46,5.0,0.0001331190000001259
370,47,4.0,0.00013643100000010344
380,48,4.0,0.00013954000000010458
390,49,4.0,0.0001428920000001166
400,50,4.0,0.0001458150000001046
410,51,7.0,0.00014920900000009452
420,52,69.0,0.00015303100000008119
430,53,69.0,0.0001567290000000776
440,54,69.0,0.00015996900000003755
450,55,67.0,0.00016365300000004135
460,56,74.0,0.00016746000000006367
470,57,71.0,0.00017125700000009125
480,58,71.0,0.00017441800000012053
490,59,71.0,0.00017819100000010524
500,60,71.0,0.00018165700000005724
510,61,71.0,0.00018487000000005915
520,62,71.0,0.0001881980000000838
530,63,71.0,0.00019180000000007524
540,64,79.0,0.00019559700000004732
550,65,80.0,0.00019921900000002823
560,66,80.0,0.0002030530000000641
570,67,80.0,0.00020678100000010025
580,68,84.0,0.00020997300000014096
590,69,84.0,0.00021392100000011682
600,70,85.0,0.00021844100000012467
610,71,85.0,0.00022166000000012342
620,72,85.0,0.00022492000000012835
630,73,85.0,0.00022828500000010576
640,74,86.0,0.00023167500000015329
650,75,86.0,0.0002350820000001641
660,76,86.0,0.00023867900000013043
670,77,86.0,0.00024203300000014139
680,78,86.0,0.00025142900000013624
690,79,86.0,0.0002548000000001105
700,80,86.0,0.0002583880000001093
710,81,86.0,0.0002616470000001425
720,82,86.0,0.0002648580000001455
730,83,86.0,0.00026777900000013455
740,84,86.0,0.00027138300000012494
750,85,86.0,0.00027460400000012264
760,86,86.0,0.000277933000000119
770,87,89.0,0.00028176300000015697
780,88,89.0,0.00028514200000018253
790,89,89.0,0.0002886070000001628
800,90,89.0,0.0002922700000001499
810,91,89.0,0.00029536200000013224
820,92,90.0,0.0002995410000001808
830,93,92.0,0.0003029350000001707
840,94,92.0,0.00030655700000020714
850,95,92.0,0.00031036800000017184
860,96,92.0,0.0003137680000001586
870,97,92.0,0.0003171120000001748
880,98,93.0,0.0003208710000001669
890,99,93.0,0.00032397300000019946
900,100,93.0,0.00032734900000019884
910,101,93.0,0.0003304260000001613
920,102,93.0,0.0003337940000001649
930,103,94.0,0.00033703800000017825
940,104,94.0,0.0003404900000001376
950,105,94.0,0.000343723000000129
960,106,94.0,0.00034696700000014236
970,107,94.0,0.00035029800000013767
980,108,94.0,0.00035369500000015375
990,109,94.0,0.0003570580000001322
1000,110,94.0,0.00036035600000011714
1010,111,94.0,0.0003643810000000802
1020,112,96.0,0.000367732000000065
1030,113,96.0,0.0003709280000000481
1040,114,96.0,0.0003747640000000274
1050,115,96.0,0.00037779800000004027
1060,116,96.0,0.000381198000000027
1070,117,96.0,0.0003842700000000199
1080,118,96.0,0.000388266000000026
1090,119,99.0,0.00039180100000002493
1100,120,99.0,0.00039517000000000024
1110,121,99.0,0.0003984020000000199
1120,122,99.0,0.00040225600000004524
1130,123,99.0,0.00040518300000003116
1140,124,99.0,0.0004083050000000532
1150,125,99.0,0.00041154100000007077
1160,126,99.0,0.0004148180000000945
1170,127,99.0,0.00041792800000006736
1180,128,99.0,0.0004213150000000887
1190,129,99.0,0.0004248780000000729
1200,130,99.0,0.00042834800000007833
1210,131,99.0,0.0004316190000001052
1220,132,99.0,0.0004346370000001265
1230,133,99.0,0.00043770800000009213
1240,134,99.0,0.00044098500000011587
1250,135,99.0,0.00044399400000011413
1260,136,99.0,0.00044730000000009484
1270,137,99.0,0.00045046300000012307
1280,138,99.0,0.00045338400000011214
1290,139,99.0,0.0004564980000000829
1300,140,99.0,0.0004596060000000568
1310,141,99.0,0.0004627000000000936
1320,142,99.0,0.00046614600000011164
1330,143,99.0,0.0004693570000001146
1340,144,99.0,0.0004726200000001457
1350,145,99.0,0.0004758620000001601
1360,146,99.0,0.00047978400000014965
1370,147,99.0,0.00048319100000010495
1380,148,99.0,0.00048654700000011486
1390,149,99.0,0.000489607000000114
1400,150,99.0,0.000492724000000111
1410,151,99.0,0.0004958090000001247
1420,152,99.0,0.0004991410000001473
1430,153,99.0,0.0005023720000001397
1440,154,99.0,0.000505198000000151
1450,155,99.0,0.0005081820000001347
1460,156,99.0,0.0005114530000001061
1470,157,99.0,0.0005146450000000913
