iters,fevals,fitness,times
0,10,2009.1278169903935,5.401999999987694e-06
10,11,1977.2345920667508,7.578000000008078e-06
20,12,1848.5518844618473,9.70999999999611e-06
30,13,1972.6609958798176,1.1824999999965335e-05
40,14,1871.909644118285,1.397699999994284e-05
50,15,2188.7791320643382,1.5921999999946035e-05
60,16,2363.028209759332,1.7996999999936314e-05
70,17,2406.433898323729,2.0098999999940137e-05
80,18,2259.299283609013,2.2128999999926346e-05
90,19,2280.0625523477174,2.4092999999891784e-05
100,20,2214.232893336017,2.605099999991589e-05
110,21,2014.6520968125608,2.8094999999894732e-05
120,22,1889.490422666713,3.0254999999868026e-05
130,23,2070.7620180844797,3.226599999989199e-05
140,24,2121.654003159938,3.424399999990557e-05
150,25,2293.3191470286474,3.625499999992954e-05
160,26,2176.617180843,3.858599999989609e-05
170,27,2144.3335852169885,4.05189999999056e-05
180,28,2204.7423847163304,4.252099999990655e-05
190,29,1873.7057353328235,4.4644999999898793e-05
200,30,1971.4506353449517,4.667299999994157e-05
210,31,1668.647255058319,4.869399999990476e-05
220,32,1767.3658766145895,5.0672999999890056e-05
230,33,1837.4280761914865,5.2612999999868126e-05
240,34,1795.0954584323322,5.452999999988606e-05
250,35,1646.438308493683,5.641599999989255e-05
260,36,1734.6242613206264,5.8488999999883884e-05
270,37,2031.4054354184054,6.038599999991234e-05
280,38,1654.816091659111,6.240699999993105e-05
290,39,1715.8171073789376,6.436999999992477e-05
300,40,2022.2041525119407,6.634499999991217e-05
310,41,2049.7566365537605,6.83129999998755e-05
320,42,2266.317699613901,7.029099999983357e-05
330,43,2116.636809226168,7.229299999983452e-05
340,44,2414.1509203643936,7.425199999983034e-05
350,45,2329.2786099065033,7.623699999981248e-05
360,46,2072.1740550362815,7.824499999981027e-05
370,47,1925.083039958258,8.025399999977978e-05
380,48,2083.2951152687524,8.230799999975336e-05
390,49,2380.38490564204,8.429999999975957e-05
400,50,2591.8454802185715,8.631099999972802e-05
410,51,2553.546853535504,8.855599999973984e-05
420,52,2697.5448320979417,9.060299999974486e-05
430,53,2941.7434264259464,9.261799999976672e-05
440,54,2937.6889463936263,9.468299999976226e-05
450,55,3042.878911783554,9.669399999978623e-05
460,56,3083.000901057284,9.879699999976177e-05
470,57,3191.697339459696,0.00010094899999973928
480,58,3217.772054644184,0.00010315299999974492
490,59,3246.9451370737397,0.00010628199999973553
500,60,3329.2692286312536,0.00010834599999975936
510,61,3339.654918355384,0.00011049399999973897
520,62,3339.654918355384,0.00011255999999970623
530,63,3339.654918355384,0.00011472099999970675
540,64,3339.654918355384,0.00011679799999969598
550,65,3339.654918355384,0.00011937699999969853
560,66,3339.654918355384,0.0001214219999997046
570,67,3339.654918355384,0.0001234769999997054
580,68,3339.654918355384,0.00012546599999974095
590,69,3339.654918355384,0.0001274349999997315
600,70,3339.654918355384,0.00012964199999970782
610,71,3339.654918355384,0.00013175699999967705
620,72,3353.63387788407,0.00013377299999967063
630,73,3353.63387788407,0.00013584999999965985
640,74,3353.63387788407,0.0001385759999996683
650,75,3353.63387788407,0.0001407949999996383
660,76,3353.63387788407,0.0001428039999996078
670,77,3353.63387788407,0.00014492899999962727
680,78,3353.63387788407,0.00014693299999962717
690,79,3353.63387788407,0.000148996999999651
700,80,3353.63387788407,0.00015113299999963692
710,81,3353.63387788407,0.00015318599999963878
720,82,3353.63387788407,0.0001551909999996659
730,83,3353.63387788407,0.00015721399999962804
740,84,3353.63387788407,0.00015966499999964245
750,85,3353.63387788407,0.00016172699999966733
760,86,3353.63387788407,0.00016399699999963824
770,87,3353.63387788407,0.00016605099999961181
780,88,3353.63387788407,0.00016803499999962224
790,89,3353.63387788407,0.00017002199999965883
800,90,3353.63387788407,0.00017198399999968084
810,91,3353.63387788407,0.0001740539999997015
820,92,3353.63387788407,0.00017605999999970035
