iters,fevals,fitness
0,44019,1729.0856810964938
10,44020,1665.3174704015235
20,44021,1548.2850256591555
30,44022,1431.1772906693382
40,44023,1611.006513096911
50,44024,1478.9959023649299
60,44025,1431.4551892886677
70,44026,1641.1448831171672
80,44027,1729.0928177215578
90,44028,2063.2129243360064
100,44029,2197.054197933539
110,44030,2249.7750463742454
120,44031,2370.8712836664977
130,44032,2253.4614512649805
140,44033,2408.9773860332443
150,44034,2364.3093485605536
160,44035,2454.4685667348463
170,44036,2298.8309594873267
180,44037,2167.722275477463
190,44038,2470.145257063507
200,44039,2578.885568769361
210,44040,2424.482505091828
220,44041,2431.356547775242
230,44042,2543.9756441352715
240,44043,2435.8448730298082
250,44044,2414.4568911725214
260,44045,2277.067036562677
270,44046,2043.728937966016
280,44047,1979.7807187397939
290,44048,2224.501488700369
300,44049,2135.287705241365
310,44050,1996.8604629419651
320,44051,1786.247824592868
330,44052,1798.7654725044317
340,44053,1557.7240815388113
350,44054,1805.2045663464066
360,44055,1785.8551880061561
370,44056,1714.8545253515686
380,44057,1863.4926820375538
390,44058,1981.6025529639965
400,44059,2257.0636135594254
410,44060,2281.6132245192507
420,44061,2437.189174469185
430,44062,2480.594968321563
440,44063,2641.415041309482
450,44064,2698.8020724968983
460,44065,2825.0265157168997
470,44066,2948.4466103341533
480,44067,2978.9687070883197
490,44068,2978.9687070883197
500,44069,2978.9687070883197
510,44070,2978.9687070883197
520,44071,2999.937146381348
530,44072,3005.1299912434133
540,44073,3005.1299912434133
550,44074,3005.1299912434133
560,44075,3005.1299912434133
570,44076,3005.1299912434133
580,44077,3005.1299912434133
590,44078,3005.1299912434133
600,44079,3005.1299912434133
610,44080,3005.1299912434133
620,44081,3005.1299912434133
630,44082,3005.1299912434133
640,44083,3005.1299912434133
650,44084,3005.1299912434133
660,44085,3005.1299912434133
670,44086,3005.1299912434133
680,44087,3005.1299912434133
690,44088,3005.1299912434133
700,44089,3005.1299912434133
710,44090,3005.1299912434133
720,44091,3005.1299912434133
730,44092,3005.1299912434133
740,44093,3005.1299912434133
750,44094,3005.1299912434133
760,44095,3053.9317148243335
770,44096,3053.9317148243335
780,44097,3053.9317148243335
790,44098,3053.9317148243335
800,44099,3053.9317148243335
810,44100,3053.9317148243335
820,44101,3053.9317148243335
830,44102,3053.9317148243335
840,44103,3053.9317148243335
850,44104,3053.9317148243335
860,44105,3053.9317148243335
870,44106,3053.9317148243335
880,44107,3053.9317148243335
890,44108,3053.9317148243335
900,44109,3053.9317148243335
910,44110,3053.9317148243335
920,44111,3053.9317148243335
930,44112,3053.9317148243335
940,44113,3053.9317148243335
950,44114,3053.9317148243335
960,44115,3053.9317148243335
970,44116,3053.9317148243335
980,44117,3053.9317148243335
990,44118,3053.9317148243335
1000,44119,3053.9317148243335
1010,44120,3053.9317148243335
1020,44121,3053.9317148243335
1030,44122,3053.9317148243335
1040,44123,3053.9317148243335
1050,44124,3053.9317148243335
1060,44125,3053.9317148243335
1070,44126,3053.9317148243335
1080,44127,3053.9317148243335
1090,44128,3053.9317148243335
1100,44129,3053.9317148243335
1110,44130,3053.9317148243335
1120,44131,3053.9317148243335
1130,44132,3053.9317148243335
1140,44133,3053.9317148243335
1150,44134,3053.9317148243335
1160,44135,3053.9317148243335
1170,44136,3053.9317148243335
1180,44137,3053.9317148243335
1190,44138,3053.9317148243335
1200,44139,3053.9317148243335
1210,44140,3053.9317148243335
1220,44141,3053.9317148243335
1230,44142,3053.9317148243335
1240,44143,3053.9317148243335
1250,44144,3053.9317148243335
1260,44145,3053.9317148243335
