iters,fevals,fitness,times
0,10,0.043651104715598944,8.218999999975996e-06
10,11,0.040456366918816135,1.3274999999979276e-05
20,12,0.04220022870482942,1.8070999999952875e-05
30,13,0.04376694939975143,2.2604999999953357e-05
40,14,0.043798308870276186,2.7163999999968436e-05
50,15,0.0449247367249274,3.281999999993346e-05
60,16,0.046162884821795716,3.7506999999936674e-05
70,17,0.04729655368370611,4.221799999992726e-05
80,18,0.044451811135053816,4.742199999996366e-05
90,19,0.04334200024513745,5.181799999998127e-05
100,20,0.04592759908884263,5.624999999997993e-05
110,21,0.04657189559281502,6.091599999996644e-05
120,22,0.04470050476506644,6.561799999993401e-05
130,23,0.04238698440480991,7.01779999999208e-05
140,24,0.0406174720655007,7.468499999990774e-05
150,25,0.04171988951749073,7.925899999994268e-05
160,26,0.03890609858605858,8.38959999999167e-05
170,27,0.04199689372266003,8.847999999989087e-05
180,28,0.04161598364817965,9.353999999989204e-05
190,29,0.0410069846412807,9.852299999985048e-05
200,30,0.04104081171839197,0.00010321699999987777
210,31,0.03977223848756581,0.00010762099999989116
220,32,0.0407602798217172,0.00011213399999993046
230,33,0.04016874874012159,0.00011672399999990146
240,34,0.040784737268703505,0.00012114099999988026
250,35,0.04217576511452046,0.00012592699999985912
260,36,0.041432985062928765,0.0001304779999998784
270,37,0.04347820877606304,0.00013507999999989861
280,38,0.045451243330072805,0.0001395339999998857
290,39,0.046440722473544346,0.00014389399999992225
300,40,0.04309911570373402,0.0001485659999999056
310,41,0.0404884720115299,0.00015306799999986742
320,42,0.040479477775859744,0.0001579389999998293
330,43,0.042241661207107,0.00016247199999980255
340,44,0.04393098235078804,0.00016718699999979103
350,45,0.03958523153991999,0.00017187099999976807
360,46,0.03979260942412312,0.00017692299999971794
370,47,0.04051850613475599,0.00018154699999972657
380,48,0.04124072170464319,0.00018761299999969783
390,49,0.04455236333408717,0.00019234299999965065
400,50,0.046478421148180286,0.0001967829999996451
410,51,0.04865688645104142,0.0002015149999996524
420,52,0.05049495352877539,0.00020612099999967048
430,53,0.04477973920527344,0.00021072599999966135
440,54,0.04065287177703332,0.0002151869999996725
450,55,0.04476308179524985,0.00021954299999965565
460,56,0.04433730795922012,0.00022403899999967614
470,57,0.040101432463717154,0.00022879199999970012
480,58,0.040268641250939013,0.00023321799999970194
490,59,0.04033822308168079,0.00023761499999969127
500,60,0.04026129943846958,0.00024192199999972797
510,61,0.04197521515996949,0.00024711299999974345
520,62,0.0435682673408642,0.0002517809999997289
530,63,0.041532129783161495,0.0002564279999997532
540,64,0.04912189976475716,0.0002608959999997329
550,65,0.04456779582864188,0.00026553799999973204
